name,slug,value,date_of_information,ranking,region
"Korea, South","korea-south","2.87","","214","East Asia/Southeast Asia"
"Hong Kong","hong-kong","2.55","","215","East Asia/Southeast Asia"
"Portugal","portugal","2.50","","216","Europe"
"Spain","spain","2.47","","217","Europe"
"Czechia","czechia","2.40","","218","Europe"
"Norway","norway","2.31","","219","Europe"
"Sweden","sweden","2.30","","220","Europe"
"Bermuda","bermuda","2.19","","221","North America"
"Finland","finland","2.13","","222","Europe"
"Japan","japan","1.90","","223","East Asia/Southeast Asia"
"Monaco","monaco","1.76","","224","Europe"
"Iceland","iceland","1.65","","225","Europe"
"Singapore","singapore","1.55","","226","East Asia/Southeast Asia"
"Slovenia","slovenia","1.52","","227","Europe"
